id,Субъект Российской Федерации,Год,Всего,ЗП,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
32,Псковская область,2020,612495,103.9,100279,332565,179651,5139,5750,5945,6815,7026,6780,6782,6879,6674,6322,6294,6330,6247,5660,5747,5889,5999,6462,6237,5348,4537,4768,4862,5309,5485,5463,5546,6515,7697,9043,9156,9568,10221,10138,9609,9402,9663,9598,8865,9146,8491,8652,8509,8756,8611,8415,8207,8510,8380,8390,7716,7628,7574,7975,8412,8584,9170,9496,9893,10650,10184,10567,10272,9665,9607,9383,8414,8624,8105,8231,8079,6211,5566,4530,2866,2412,1863,2675,4236,3693,4023,3817,3568,2712,2124,1531,1462,1666,1250,1129,753,709,497,404,270,189,117,64,40,20,32
33,г. Санкт-Петербург,2020,5580752,101.0,824472,3311508,1444772,51705,54050,56105,61487,62626,59586,56684,57234,53172,50425,48105,44264,41016,40868,43397,43748,55715,53727,60992,73551,69835,63042,52858,57089,58748,54565,55844,64167,74188,93143,98598,102228,107442,105456,108998,102062,102914,96071,91598,99465,89154,86391,81751,85251,82435,80606,77519,79139,76158,80394,73306,72192,66369,67887,72571,71912,76461,77725,78936,85871,77629,75114,74307,71961,74064,69829,62929,62795,59475,60282,59250,51703,50896,50879,35924,22698,15302,15919,27781,31240,35858,36065,37042,22730,18518,13873,12508,13426,11058,9963,7546,6210,4897,3769,2766,1946,1488,1029,434,191,662
34,Южный федеральный округ,2020,16748424,103.0,3048198,9405997,4294229,164313,176787,186006,206847,215028,213623,209553,211533,198728,192114,189330,195266,185220,169314,169574,164962,165986,162152,150985,162702,150571,152243,149275,164411,180530,178333,185262,207543,226578,268589,269551,274725,287779,292491,294884,279862,285057,266943,254212,281743,252461,247567,234466,240987,244688,230734,221723,225457,214529,230210,203434,204418,194556,199725,213351,208795,228002,231954,242646,268312,242252,236581,224914,224551,220379,219912,201573,201553,185977,189171,185070,149806,136435,119420,73840,52742,57970,75635,103464,112285,111620,105072,98856,72310,56473,32874,25096,29175,23942,26524,19391,16415,12470,9343,5983,4178,2627,1385,764,504,1272
35,Республика Адыгея,2020,487559,102.9,95407,275643,116509,4722,5230,5666,6288,6764,6504,6301,6532,6292,6725,6319,6318,5990,5248,5423,5085,5010,4803,4632,5290,5211,5309,4836,5566,5988,5627,5865,6741,7376,8580,8456,7822,8151,8533,8717,7709,7630,7160,6849,8326,7269,6908,6172,6613,7030,6218,6125,6165,6121,6461,5725,6049,5423,5601,6351,5845,6304,6660,6962,7865,6809,6704,6234,6277,5982,5801,5196,5351,5066,5192,4709,3961,3619,3071,1962,1233,1519,1957,2778,3133,3093,2844,2628,1992,1519,873,647,701,620,715,571,425,321,207,144,106,62,36,10,14,16
36,Республика Калмыкия,2020,270151,107.6,60096,150811,59244,3059,3327,3321,3624,3910,4003,4080,4126,3967,4216,4135,4220,4022,3362,3392,3332,3217,2863,2641,2572,2561,2588,2645,2740,2930,3143,3083,3469,3639,4259,4492,4549,4925,4658,4695,4592,4424,4273,3893,4017,3738,3554,3406,3339,3330,3207,2967,2921,2811,3052,3135,3260,3345,3499,3870,4122,4334,4368,4581,4640,4447,4144,3915,3831,3664,3529,3010,2863,2601,2328,2185,1402,1188,1018,541,353,539,800,955,1211,1203,1085,938,844,684,401,283,370,274,308,221,164,144,79,67,53,24,26,3,4,9
37,Республика Крым,2020,1938630,101.5,363099,1053928,521603,19732,20962,21678,23667,25152,24317,24828,25290,24251,24205,24340,24068,22396,20663,18793,18757,18099,16691,16145,16152,15601,16197,16782,18009,18751,20458,20924,22643,25132,27703,29369,30778,33215,33920,33303,33397,33349,30721,29569,29490,28619,28288,27498,27484,26521,26164,25026,25330,24508,24546,23873,23416,23092,22884,22740,24525,25844,27178,28414,29065,28903,28772,28411,27862,26913,26669,24947,24755,23586,23119,22513,18326,16891,14715,9209,9001,8298,10306,11588,11772,12492,12295,11522,8716,6331,4535,3407,3535,2959,3005,2265,1749,1459,1149,753,565,346,158,146,58,117
38,Краснодарский край,2020,5794102,103.2,1100564,3231553,1461985,62640,66233,69500,75997,78035,78356,75960,75748,70932,66962,66680,67568,64230,60169,60643,60911,59565,56652,51441,53803,49150,50765,50808,55016,61046,62895,64944,73229,78904,90625,89079,93278,98016,99604,99504,96601,97853,93019,88263,97817,87513,85859,81929,83227,85316,81553,78799,79450,75681,80555,68846,68492,66980,67513,71271,70808,75414,79489,83240,91961,81967,78897,74524,74234,73207,74528,68202,67867,62534,65516,62568,51115,48600,40665,24071,17878,19728,25034,35826,41036,39967,37181,36165,25306,19557,10813,8023,9157,7849,10029,6827,5950,4439,3359,2024,1299,896,429,191,128,179
39,Астраханская область,2020,979935,104.5,205852,548697,225386,10949,11688,12202,14226,14704,14682,14703,14920,13434,12737,13126,13624,12367,10597,10886,11007,10528,10473,9399,9431,9009,9368,9475,9620,10759,10436,10953,12355,13681,15822,15867,16675,17320,16765,17167,16642,16733,15529,15094,15410,13714,14937,13790,13509,13695,12571,12776,12759,12368,11921,11561,11111,11201,11726,12308,12652,13654,13385,13734,15046,13754,13480,12784,13039,12759,12307,11175,11011,10683,9564,9685,7976,6268,5666,3680,2265,2455,3228,4677,4803,4770,4470,4128,3033,2561,1693,1357,1781,1123,981,803,646,474,378,271,204,159,86,154,110,713
40,Волгоградская область,2020,2526201,104.2,416696,1442986,666519,20952,23424,24786,27935,28665,28817,28667,29194,27865,26023,25795,28632,27503,23746,23602,21090,23567,24579,23399,26062,24280,23611,22377,25406,27831,26104,27907,29995,33435,41816,41792,42111,43216,43696,44191,41179,42674,39555,37907,42558,39161,37447,36601,37787,37855,35834,34628,35430,33394,36756,32794,32773,30287,32000,34234,32374,36019,35356,36801,40985,36977,35789,34468,34448,34185,33820,30817,30568,28474,29036,28597,23866,20567,18586,11877,7541,8577,11885,16586,17432,17677,16677,15076,11977,9480,5405,4395,5121,4291,4301,3411,2947,2276,1658,1066,811,494,284,97,82,119
41,Ростовская область,2020,4229480,102.1,716660,2396731,1116089,37528,40832,43253,48780,51024,50850,48867,49345,45927,45799,43501,45203,43317,40540,41833,40061,40919,41088,38762,43386,38768,39560,37859,41953,46487,44470,46196,52916,57323,70835,70753,70090,73220,74517,76285,70392,72973,67708,64508,74161,64246,62058,57658,60678,63016,57869,54824,56546,53408,59460,50820,52367,48507,50492,56235,52648,59595,59282,62643,71243,62848,61949,58450,58089,57071,56611,52293,52907,47481,48816,49014,38607,35004,31457,19689,12388,14939,19978,28033,29953,29262,27705,25626,18626,14937,8177,6179,7567,6151,6501,4718,4075,3006,2233,1475,1019,576,326,145,107,108
42,г. Севастополь,2020,522366,101.3,89824,305648,126894,4731,5091,5600,6330,6774,6094,6147,6378,6060,5447,5434,5633,5395,4989,5002,4719,5081,5003,4566,6006,5991,4845,4493,6101,6738,5200,5390,6195,7088,8949,9743,9422,9716,10798,11022,9350,9421,8978,8129,9964,8201,8516,7412,8350,7925,7318,6578,6856,6238,7459,6680,6950,5721,6010,6342,5821,6838,6236,6271,7507,6547,6846,6128,6771,6598,6647,5933,6231,5552,5600,5799,4553,4298,4242,2811,2083,1915,2447,3021,2945,3156,2815,2773,1816,1404,977,805,943,675,684,575,459,351,280,183,121,70,40,18,1,11
43,Северо-Кавказский федеральный округ,2020,10082045,105.0,2430015,5915451,1736579,135748,141583,146575,153252,161717,162306,160161,162498,160707,159389,155038,160948,151356,136003,147195,135539,140208,135676,122028,138105,131492,134518,124724,136097,148749,134970,139824,162479,167817,203756,185256,175444,173446,175075,179066,156284,156860,150123,137259,167835,138844,134668,121955,128151,139743,118485,115962,116744,111968,139801,113592,120236,106851,108728,127882,112988,118849,117843,117779,142305,114762,109120,98256,97026,94232,88626,77974,78122,67296,74330,63246,51060,45215,37632,28754,18907,22519,30868,35294,44073,39502,37194,33800,27885,23179,14028,11776,13672,8082,11318,5989,5703,3684,2828,1975,1437,885,614,194,249,259
44,Республика Дагестан,2020,3140888,111.6,806255,1902940,431693,46183,47730,49720,51503,53083,54668,53093,52876,51253,51620,51034,53110,49748,45199,49455,45980,46127,44369,39265,45218,42724,45401,43025,48296,50865,48989,47463,54831,57771,69794,60662,57919,56622,55407,57605,48500,47845,45135,40709,51416,40436,39897,37329,38670,43337,37362,36990,36753,34841,45304,35311,38801,34931,34919,40975,36304,36176,35936,34417,40884,31315,29174,25811,24353,23278,20807,17543,17719,14991,17956,13610,11846,9828,7977,7335,4602,4946,7420,7193,10619,8116,7932,7911,7241,6198,4310,3627,4102,2172,3742,1219,1373,728,687,501,388,171,155,53,80,73
45,Республика Ингушетия,2020,496679,104.3,146725,302759,47195,8238,7983,7848,7659,8634,9693,9335,9564,11339,9736,10056,10146,9321,8899,9595,8679,9093,9104,7638,9396,9412,8554,8261,8900,9789,8288,8210,9285,7933,11980,10057,7914,7477,8016,8979,6245,6339,6713,5792,9205,6464,5879,4624,5415,6422,4933,5030,5405,5243,8438,6106,5770,4217,4180,6169,4175,4691,4384,4309,6290,4043,3667,2713,3055,2855,2229,1959,1956,1614,2103,1364,1046,831,746,699,608,626,798,625,1015,694,649,534,555,434,377,278,299,165,235,113,103,63,39,54,26,27,15,3,9,6
46,Кабардино-Балкарская Республика,2020,897344,105.0,198823,528424,170097,10491,11643,11761,12730,14014,13675,13652,14295,12875,13990,13090,12946,12301,10394,10995,9971,10439,10232,9507,12186,11357,11133,10349,11327,13141,11255,12098,13325,14068,17974,17267,15894,15516,16096,17006,13725,13712,13167,12233,15668,12672,12116,10623,11264,12351,10136,9916,10239,10240,12948,11369,12073,10667,10943,13117,11562,11880,11966,11691,14082,11317,10826,9682,9531,9082,8764,7377,7542,6419,6818,5914,4788,4204,3577,2904,1928,2485,3831,3597,4497,4016,3698,3036,2607,1970,1329,1095,1406,763,1000,503,500,291,221,163,81,89,66,16,33,25
47,Карачаево-Черкесская Республика,2020,470348,107.0,101470,271170,97708,5704,5788,5969,6383,6912,6469,6616,6691,6199,6909,6770,7018,6799,5592,6031,5620,5517,5425,4937,5773,5317,5706,5007,5658,6651,5658,5813,6675,7076,8836,7912,8034,7807,7968,8639,7136,7409,7239,6541,8086,6631,6598,5978,6103,6651,5694,5500,5577,5511,6508,5472,6147,5481,5580,6491,5972,6065,6066,6208,7429,6284,6346,5899,5718,5297,5077,4468,4367,3771,4142,3429,2757,2375,1839,1348,881,1360,1583,2244,2580,2432,2203,2011,1650,1341,838,727,873,449,706,373,340,199,146,118,98,49,47,3,12,16
48,Республика Северная Осетия – Алания,2020,694939,103.0,140194,398094,156651,7579,8079,7960,8731,9532,9503,9584,9856,9334,9310,8792,8958,9162,7966,8202,7646,8209,8277,7897,9327,8484,8357,7719,8586,9545,8460,8452,9469,10052,12098,11850,11087,11064,11381,12010,10182,10154,9640,9050,11494,9528,9449,9071,9315,10303,8841,8714,8645,8345,9897,8501,8955,8174,8526,9823,8611,9229,8993,9147,10623,8907,8755,7956,8000,7605,7501,6356,6773,5972,6671,5890,4780,4615,3870,3097,2069,2298,3423,4027,4554,4117,4068,3541,2897,2430,1629,1362,1622,780,1102,678,575,376,297,195,171,117,64,23,20,28
49,Чеченская Республика,2020,1477736,104.0,494947,832569,150220,29632,29688,30870,29391,31783,31979,32422,33573,36481,29689,29933,33639,30660,27728,29678,27801,27461,25774,23134,23967,25587,24806,22419,21605,22055,20503,20690,23191,22735,29642,26777,24924,25144,24871,25703,22217,21774,21023,18662,24013,18580,17347,15689,15590,16675,14047,13470,13746,13046,16126,13249,13333,12133,12292,13613,12603,13458,13194,12872,15845,13029,11874,10967,10021,9557,8580,7841,7431,6020,6414,4524,3427,2799,1752,1232,1371,1374,1986,1586,2352,1789,1901,1747,1734,1317,862,874,958,321,595,183,323,98,85,61,51,35,36,20,41,36
50,Ставропольский край,2020,2904111,102.5,541601,1679495,683015,27921,30672,32447,36855,37759,36319,35459,35643,33226,38135,35363,35131,33365,30225,33239,29842,33362,32495,29650,32238,28611,30561,27944,31725,36703,31817,37098,45703,48182,53432,50731,49672,49816,51336,49124,48279,49627,47206,44272,47953,44533,43382,38641,41794,44004,37472,36342,36379,34742,40580,33584,35157,31248,32288,37694,33761,37350,37304,39135,47152,39867,38478,35228,36348,36558,35668,32430,32334,28509,30226,28515,22416,20563,17871,12139,7448,9430,11827,16022,18456,18338,16743,15020,11201,9489,4683,3813,4412,3432,3938,2920,2489,1929,1353,883,622,397,231,76,54,75
51,Приволжский федеральный округ,2020,29307682,103.3,5406859,16285509,7615314,277564,307026,325503,374356,388881,385909,384287,384233,360218,347975,339541,338222,318737,286922,291913,295572,293832,285528,262064,271136,256722,265572,257563,276950,294600,297764,306979,345413,381513,450233,474264,492926,517565,514510,501260,478977,485087,445433,431069,447624,423182,418918,405817,419550,416983,396717,378733,384990,375992,387171,361025,360182,351955,372600,390543,395559,428262,435210,458416,490376,461011,453793,433673,412588,410198,400501,352380,351866,332936,318244,315925,256102,237867,208134,119141,81747,80011,119662,175490,175267,183367,166672,147546,118551,93793,67866,55388,60236,48404,45359,34539,29820,21371,16073,10909,7264,4643,2211,1283,779,1448
52,Республика Башкортостан,2020,4112834,102.5,829907,2304756,978171,41533,46648,48696,56262,59465,59733,59067,58889,55410,54452,51973,53645,50475,43163,45248,45248,44422,43626,38706,40390,37902,39412,39049,41891,43685,42566,44313,50113,54544,67472,69681,71781,76015,73146,71637,67145,68773,62941,59687,61579,56929,55101,53152,53808,53191,51091,48590,49816,48887,52845,50244,52024,50268,53612,56683,57503,62334,63628,66282,71497,65090,62794,58979,54247,53647,51493,44132,44971,41532,36943,37470,28108,27087,24072,13495,8352,9345,15412,20233,21155,23225,20703,17940,16313,13457,9246,7650,8884,6477,5985,4448,4082,2557,2007,1360,918,509,229,164,102,153
53,Республика Марий Эл,2020,683437,103.8,134337,376222,172878,6701,7340,8065,9378,9712,9801,9868,9623,8987,8478,8592,8346,8046,7091,7138,7171,6698,6674,6292,6373,6130,6174,5763,6107,6570,6760,6985,7785,8926,10833,11118,11765,12619,12444,11684,11628,11703,10557,10344,10227,9690,9212,9199,9397,9144,8577,8141,8088,7888,8502,7928,8239,8259,8700,9154,9323,10463,10145,11248,12087,11466,11370,11070,10291,10256,9793,8430,7916,7384,6907,7034,5750,5324,4301,2252,1448,1309,2421,3367,3589,3525,3182,2757,2021,1728,1604,1341,1391,1031,848,657,531,399,331,217,117,94,57,12,17,19
54,Республика Мордовия,2020,798993,105.1,119349,453921,225723,5891,6666,6660,7643,7768,7873,7965,7930,7627,7791,7899,8093,7658,7155,7270,7460,7761,7540,7445,8006,7830,7847,7398,7850,8542,8107,8361,9364,9992,11681,12586,12745,13536,13343,13044,12295,12673,11999,11366,11813,11426,11211,10970,11334,11578,11041,10419,11175,11557,11579,10522,10779,10679,11467,12147,11829,12968,12879,13722,14746,14056,14065,13252,12861,11799,11726,10370,10459,9614,9420,9393,8009,6861,6180,3048,2299,2179,3606,5482,5368,5036,4933,3886,3438,2773,2047,1640,1710,1294,1341,1030,967,711,559,376,275,212,137,27,13,40
55,Республика Татарстан,2020,3996358,103.1,766683,2255242,974433,42541,46747,49122,56522,57365,56535,56478,55688,50491,48267,46452,44502,41106,37144,39090,38633,40483,39589,35416,37950,36054,36820,37694,40430,43622,43500,45993,51515,55824,68313,71166,73132,76205,73522,71307,67434,67172,60196,57527,59196,57515,54971,53818,56368,54873,52203,50256,50051,47534,50514,47268,47781,47139,51384,53145,53112,58040,58738,61278,66425,60366,58775,56369,52835,52909,51121,44142,43811,40737,38360,39154,31136,29188,25448,14187,9524,10070,14762,22907,23124,24195,21333,18163,15221,11937,10280,7953,7928,6992,6247,4716,4119,3087,2166,1528,1002,690,247,179,108,186
56,Удмуртская Республика,2020,1471619,103.4,302960,806226,362433,14601,16306,17554,20722,21632,21533,21831,22512,21292,20000,19287,18437,17876,16349,16271,16757,16351,15564,14620,14333,13757,13867,13361,13427,13851,15212,15635,17738,18456,20379,22470,24811,25368,24891,24002,23455,24145,22436,21909,21855,21223,21030,20311,21856,20804,20282,18956,18732,18505,17988,16880,16593,17009,17868,18537,19354,20612,21364,22315,24104,23625,23252,22206,20792,20587,20008,18055,17498,16362,15365,14390,11318,10888,8863,5461,3941,3512,4916,7085,7033,7778,6694,5741,4894,4024,3365,2534,2705,2333,2049,1384,1197,863,665,400,278,175,78,49,35,45
57,Чувашская Республика,2020,1206000,104.3,234246,670200,301554,12065,12946,14680,16100,16745,16668,16533,16971,15662,15525,15175,14472,14027,12286,12102,12289,11983,11047,10124,10644,10396,10886,10603,11810,12198,11885,11966,13316,15522,18358,19556,19900,20853,20636,19429,18999,18667,17012,16837,17590,16957,16981,16905,17896,17428,16419,15616,16192,15971,16112,15977,16088,15755,17583,17471,17707,18331,18412,18763,20390,19321,18482,17671,16590,16127,15542,13363,13485,12716,12205,12082,9954,8890,7421,3959,3217,2978,5537,6643,6794,6833,6250,5936,4484,3867,3379,2759,2561,2171,1842,1377,1154,847,711,528,373,240,105,83,52,54
58,Пермский край,2020,2574746,103.7,523076,1418834,632836,26123,29020,31674,36763,38205,37633,37541,38131,36398,33126,31300,32975,30821,26825,27997,28544,28403,27003,25064,24890,22777,23588,22171,23604,24233,24507,25458,28808,31687,38089,40695,42313,44819,46197,44848,42631,42749,39460,37751,39551,37291,38446,37017,37804,39079,37235,34877,35100,34125,33067,31224,30179,28949,29800,31275,32012,34408,34840,37280,39386,37232,37453,35214,34492,34206,34364,30319,30431,29627,29472,27417,21518,20599,17553,10727,6743,6366,8802,13558,13372,14526,13279,11421,8790,7227,5122,4456,5160,3965,3404,2638,2376,1637,1352,817,566,359,187,89,48,96
59,Кировская область,2020,1192540,104.1,206030,631576,354934,9874,11334,12464,14376,15110,14030,14250,14151,13126,13823,13500,13344,12576,11778,11147,11147,10313,10309,9410,9174,8129,8664,8229,8966,9719,9573,9966,11185,13055,15780,16965,17384,18727,20082,19550,18953,20319,18644,18216,19221,17651,18154,16955,17996,17623,16743,15805,15690,15176,15316,13764,13912,13662,14780,15763,16333,18147,18649,20841,22594,22140,22132,21379,19848,20278,19530,16915,17135,16089,15565,15012,11374,11140,9186,4625,3013,2380,4293,7703,7438,8304,7317,6810,4818,4298,3706,3225,3320,2730,2374,1788,1475,941,817,503,326,209,121,71,30,65
60,Нижегородская область,2020,3174171,102.8,549515,1750148,874508,28645,31928,34174,38508,40111,38472,38327,38404,36124,34434,34737,34034,31991,29982,29725,29919,29613,28799,26695,27962,25872,28239,26919,28783,30592,30980,30777,35229,40150,47860,51034,53054,56573,56620,55307,52218,53917,49021,48040,50093,46574,47929,45053,45768,46388,43816,41783,42483,42036,43243,39760,38015,37220,38890,41004,41395,44110,45533,48657,52552,51429,51698,49182,46946,46422,45071,40108,39448,37768,37555,37279,28940,27438,24915,14891,11071,8943,12406,20221,19813,20509,19654,18919,13873,12112,9471,7320,7878,5769,5337,4156,3551,2559,1934,1386,936,528,322,137,72,133
